cell_id,row_index,column_index,header,ocr_text,confidence,confirmed_status,review_reasons,ink_ratio,absolute_bbox
r000_c01,0,1,번호,번호,93.0,needs_reread,variant_disagreement,0.3833,"[34, 47, 65, 64]"
r000_c02,0,2,| 조,| 조,49.0,needs_reread,low_confidence|variant_disagreement,0.1514,"[67, 47, 121, 64]"
r000_c03,0,3,이름 | 이름,이름 | 이름,77.67,needs_reread,variant_disagreement,0.1486,"[123, 47, 241, 64]"
r000_c04,0,4,6.23 점심 자 유 식,6.23 점심 자 유 식,92.6,needs_reread,variant_disagreement,0.3137,"[243, 47, 363, 64]"
r000_c08,0,8,버스 교체,버스 교체,96.0,needs_reread,variant_disagreement,0.246,"[740, 47, 828, 64]"
r000_c09,0,9,6.24 오후,6.24 오후,93.5,needs_reread,variant_disagreement,0.1836,"[830, 47, 970, 64]"
r000_c10,0,10,| 6.24 석식,| 6.24 석식,91.0,needs_reread,variant_disagreement,0.1816,"[972, 47, 1109, 64]"
r000_c11,0,11,6.25 점 심 자 유 식,6.25 점 심 자 유 식,92.5,needs_reread,variant_disagreement,0.3055,"[1111, 47, 1235, 64]"
r000_c12,0,12,6.25 석 식 자 유식,6.25 석 식 자 유식,93.0,needs_reread,variant_disagreement,0.3638,"[1237, 47, 1329, 64]"
r000_c13,0,13,6.26 오전,6.26 오전,93.5,needs_reread,variant_disagreement,0.191,"[1331, 47, 1465, 64]"
r000_c16,0,16,6.26 석식,6.26 석식,94.0,needs_reread,variant_disagreement,0.1869,"[1689, 47, 1825, 64]"
r000_c17,0,17,…,…,26.0,needs_reread,low_confidence|variant_disagreement,0.0687,"[1827, 47, 1922, 64]"
r000_c19,0,19,6.28,6.28,92.0,needs_reread,variant_disagreement,0.1699,"[2026, 47, 2116, 64]"
r001_c00,1,0,차량,ㅠㅠ,30.0,needs_reread,low_confidence|variant_disagreement,0.0588,"[1, 66, 32, 83]"
r001_c01,1,1,번호,| 1,76.5,needs_reread,variant_disagreement,0.1461,"[34, 66, 65, 83]"
r001_c02,1,2,| 조,| 11:,73.5,needs_reread,variant_disagreement,0.2168,"[67, 66, 121, 83]"
r001_c03,1,3,이름 | 이름,검 규 서,86.33,needs_reread,variant_disagreement,0.2218,"[123, 66, 241, 83]"
r001_c04,1,4,6.23 점심 자 유 식,| 스탠포드 (1 호 차),91.4,needs_reread,variant_disagreement,0.3412,"[243, 66, 363, 83]"
r001_c05,1,5,6.23 석식,인 앤 아웃 (1 호 차),92.5,needs_reread,variant_disagreement,0.3704,"[365, 66, 483, 83]"
r001_c06,1,6,6.24 오전,PnP (3 호 차),93.0,needs_reread,variant_disagreement,0.2432,"[485, 66, 619, 83]"
r001_c07,1,7,6.24 중식,쌀국수 (3 호 차),91.75,needs_reread,variant_disagreement,0.3188,"[621, 66, 738, 83]"
r001_c08,1,8,버스 교체,호텔 차 량 교 제,69.4,needs_reread,low_confidence|variant_disagreement,1.0,"[740, 66, 828, 83]"
r001_c09,1,9,6.24 오후,. 블 룸 에 너지 (4 호 차),79.12,needs_reread,variant_disagreement,0.3681,"[830, 66, 970, 83]"
r001_c10,1,10,| 6.24 석식,| 쌀국수 (4 호 차),83.4,needs_reread,variant_disagreement,0.3049,"[972, 66, 1109, 83]"
r001_c11,1,11,6.25 점 심 자 유 식,UCH Be (1 호 차),85.4,needs_reread,variant_disagreement,0.37,"[1111, 66, 1235, 83]"
r001_c12,1,12,6.25 석 식 자 유식,i,61.0,needs_reread,low_confidence|variant_disagreement,1.0,"[1237, 66, 1329, 83]"
r001_c13,1,13,6.26 오전,브 리 즈 바이오 (1 호 차),87.71,needs_reread,variant_disagreement,0.3867,"[1331, 66, 1465, 83]"
r001_c14,1,14,6.26 중 식 자 유 식,Ｌ,45.0,needs_reread,low_confidence|variant_disagreement,1.0,"[1467, 66, 1559, 83]"
